Bench,Compiler,Total Insns,JIT-code Insns
base64,baseline,15928664742,15824326180
base64,cranelift,13964539149,13292292571
box2d,baseline,15419219002,15292825075
box2d,cranelift,16150413181,13777869312
bullet,baseline,16790275291,16400565257
bullet,cranelift,25969589635,16200439548
conditionals,baseline,4399291713,4298742526
conditionals,cranelift,5195855655,4706712644
copy,baseline,9102627902,9002550280
copy,cranelift,8310351591,7818166392
corrections,baseline,9056360830,8956071919
corrections,cranelift,5367313303,4876244842
fannkuch,baseline,39975944938,39868708595
fannkuch,cranelift,30873948478,30182645514
fasta,baseline,11316331499,11208697794
fasta,cranelift,8585063861,7906759978
havlak,baseline,6918331032,6798236079
havlak,cranelift,8235826840,7088318015
ifs,baseline,1689084417,1588985622
ifs,cranelift,2159370623,1659612234
linpack_double.c,baseline,7232784955,7114753826
linpack_double.c,cranelift,6142080761,5352863140
lua_binarytrees.c,baseline,53142179835,52923578197
lua_binarytrees.c,cranelift,82845306510,76832575422
lua_scimark.c,baseline,3714300440,3475189668
lua_scimark.c,cranelift,9300277808,3266964902
matrix_multiply,baseline,50940732000,50829685150
matrix_multiply,cranelift,33391976039,32719126980
memops,baseline,27787138698,27684872735
memops,cranelift,19910050335,19300220866
primes,baseline,7620845628,7520710540
primes,cranelift,4748928656,4260644116
skinning,baseline,27943207227,27840471719
skinning,cranelift,15550943889,14923698075
zlib.c,baseline,15273779575,15132661734
zlib.c,cranelift,22743060605,19509848430
